"Name","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","d_ff","d_model","dropout","lr","max_length","num_epochs","num_heads","num_layers","token_type","learning_rate","test_loss","train_loss"
"Final Sub","running","-","","","2024-12-07T01:54:02.000Z","2851","","32","1024","256","0.1","0.001","500","50","4","4","10k","0.0006840622763423389","7.10267972946167","7.033800429650816"
"with 10k retry","crashed","-","","","2024-12-02T11:40:33.000Z","5610","","32","1024","256","0.1","0.001","500","50","4","4","10k","0.00018128800512565504","7.101197401682536","7.032254690265937"
"Run 1","finished","-","","","2024-11-23T05:03:29.000Z","6472","","32","2048","512","0.1","0.001","1000","50","8","3","1k","9.866357858642198e-7","NaN","NaN"
"Run 1","finished","-","","","2024-11-23T04:56:50.000Z","156","","32","2048","512","0.1","0.001","1000","50","8","3","1k","0.0009648882429441258","NaN","NaN"
"Run 4","finished","-","","","2024-11-23T04:55:56.000Z","52","","32","2048","512","0.1","0.001","1000","50","8","3","1k","","",""
"Run 1","finished","-","","","2024-11-23T04:54:29.000Z","85","","32","2048","512","0.1","0.001","1000","50","8","3","1k","","",""
"Run 1","finished","-","","","2024-11-23T04:54:13.000Z","14","","32","2048","512","0.1","0.001","1000","50","8","3","1k","","",""
"Run 1","finished","-","","","2024-11-23T04:53:09.000Z","62","","32","2048","512","0.1","0.001","1000","50","8","3","1k","","",""
"Run 2","finished","-","","","2024-11-23T04:35:19.000Z","1068","","32","2048","512","0.1","0.001","1000","50","8","3","1k","0.0009755282581475768","NaN","NaN"
"Run 2","finished","-","","","2024-11-23T04:29:27.000Z","350","","32","2048","512","0.1","0.001","1000","50","8","3","1k","0.0004063093427071376","NaN","NaN"
"Run 2","finished","-","","","2024-11-23T04:26:02.000Z","203","","32","2048","512","0.1","0.001","1000","50","8","3","1k","0.00043733338321784774","NaN","NaN"
"Run 1","finished","-","","","2024-11-23T03:20:39.000Z","3921","","32","2048","512","0.1","0.001","1000","50","8","3","1k","0.00046860474023534314","NaN","NaN"
"Run 1","finished","-","","","2024-11-23T03:18:23.000Z","135","","32","2048","512","0.1","0.001","1000","50","8","3","1k","","",""
"Run 1","finished","-","","","2024-11-23T03:17:47.000Z","34","","32","2048","512","0.1","0.001","1000","50","8","3","1k","","",""
"Run 1","finished","-","","","2024-11-23T03:16:41.000Z","64","","32","2048","512","0.1","0.001","1000","50","8","3","1k","","",""
"Run 1","finished","-","","","2024-11-23T03:14:48.000Z","112","","32","2048","512","0.1","0.001","1000","50","8","3","1k","","",""
